Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
ODFL,Old Dominion Freight Line,Industrials,Trucking,"Thomasville, North Carolina"
OMC,Omnicom Group,Communication Services,Advertising,"New York City, New York"
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma"
ORCL,Oracle,Information Technology,Application Software,"Austin, Texas"
OGN,Organon & Co.,Health Care,Pharmaceuticals,"Jersey City, New Jersey"
OTIS,Otis Worldwide,Industrials,Industrial Machinery,"Farmington, Connecticut"
PCAR,Paccar,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington"
PKG,Packaging Corporation of America,Materials,Paper Packaging,"Lake Forest, Illinois"
PH,Parker-Hannifin,Industrials,Industrial Machinery,"Cleveland, Ohio"
PAYX,Paychex,Information Technology,Data Processing & Outsourced Services,"Penfield, New York"
PAYC,Paycom,Information Technology,Application Software,"Oklahoma City, Oklahoma"
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California"
PENN,Penn National Gaming,Consumer Discretionary,Casinos & Gaming,"Wyomissing, Pennsylvania"
PNR,Pentair,Industrials,Industrial Machinery,"Worsley, England"
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut"
PEP,PepsiCo,Consumer Staples,Soft Drinks,"Purchase, New York"
PKI,PerkinElmer,Health Care,Health Care Equipment,"Waltham, Massachusetts"
PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York"
PM,Philip Morris International,Consumer Staples,Tobacco,"New York City, New York"
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas"
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,"Phoenix, Arizona"
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas"
PNC,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
POOL,Pool Corporation,Consumer Discretionary,Distributors,"Covington, Louisiana"
PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania"
PPL,PPL,Utilities,Electric Utilities,"Allentown, Pennsylvania"
PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa"
PG,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio"
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio"
PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California"
PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey"
PTC,PTC,Information Technology,Application Software,"Boston, Massachusetts"
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey"
PSA,Public Storage,Real Estate,Specialized REITs,"Glendale, California"
PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia"
PVH,PVH,Consumer Discretionary,Apparel Accessories & Luxury Goods,"New York City, New York"
QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina"
PWR,Quanta Services,Industrials,Construction & Engineering,"Houston, Texas"
QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California"
DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey"
RL,Ralph Lauren Corporation,Consumer Discretionary,Apparel Accessories & Luxury Goods,"New York City, New York"
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida"
RTX,Raytheon Technologies,Industrials,Aerospace & Defense,"Waltham, Massachusetts"
O,Realty Income Corporation,Real Estate,Retail REITs,"San Diego, California"
REG,Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida"
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"Tarrytown, New York"
RF,Regions Financial Corporation,Financials,Regional Banks,"Birmingham, Alabama"
RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona"
RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California"
RHI,Robert Half International,Industrials,Human Resource & Employment Services,"Menlo Park, California"
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin"
ROL,Rollins,Industrials,Environmental & Facilities Services,"Atlanta, Georgia"
ROP,Roper Technologies,Industrials,Industrial Conglomerates,"Sarasota, Florida"
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California"
RCL,Royal Caribbean Group,Consumer Discretionary,Hotels Resorts & Cruise Lines,"Miami, Florida"
SPGI,S&P Global,Financials,Financial Exchanges & Data,"New York City, New York"
CRM,Salesforce,Information Technology,Application Software,"San Francisco, California"
SBAC,SBA Communications,Real Estate,Specialized REITs,"Boca Raton, Florida"
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,"Curaao, Kingdom of the Netherlands"
STX,Seagate Technology,Information Technology,Technology Hardware Storage & Peripherals,"Dublin, Ireland"
SEE,Sealed Air,Materials,Paper Packaging,"Charlotte, North Carolina"
SRE,Sempra Energy,Utilities,Multi-Utilities,"San Diego, California"
NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California"
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio"
SPG,Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana"
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Woburn, Massachusetts"
SNA,Snap-on,Industrials,Industrial Machinery,"Kenosha, Wisconsin"
SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia"
LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas"
SWK,Stanley Black & Decker,Industrials,Industrial Machinery,"New Britain, Connecticut"
SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington"
STT,State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts"
STE,Steris,Health Care,Health Care Equipment,"Dublin, Ireland"
SYK,Stryker Corporation,Health Care,Health Care Equipment,"Kalamazoo, Michigan"
SIVB,SVB Financial,Financials,Regional Banks,"Santa Clara, California"
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut"
SNPS,Synopsys,Information Technology,Application Software,"Mountain View, California"
SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas"
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington"
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland"
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York"
TPR,Tapestry,Consumer Discretionary,Apparel Accessories & Luxury Goods,"New York City, New York"
TGT,Target Corporation,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota"
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland"
TDY,Teledyne Technologies,Industrials,Aerospace & Defense,"Thousand Oaks, California"
TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania"
TER,Teradyne,Information Technology,Semiconductor Equipment,"North Reading, Massachusetts"
TSLA,Tesla,Consumer Discretionary,Automobile Manufacturers,"Palo Alto, California"
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas"
TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island"
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts"
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts"
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee"
TT,Trane Technologies,Industrials,Building Products,"Dublin, Ireland"
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio"
TRV,The Travelers Companies,Financials,Property & Casualty Insurance,"New York City, New York"
TRMB,Trimble,Information Technology,Electronic Equipment & Instruments,"Sunnyvale, California"
TFC,Truist Financial,Financials,Regional Banks,"Charlotte, North Carolina"
TWTR,Twitter,Communication Services,Interactive Media & Services,"San Francisco, California"
TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas"
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas"
UDR,UDR,Real Estate,Residential REITs,"Highlands Ranch, Colorado"
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois"
USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota"
UAA,Under Armour (Class A),Consumer Discretionary,Apparel Accessories & Luxury Goods,"Baltimore, Maryland"
UA,Under Armour (Class C),Consumer Discretionary,Apparel Accessories & Luxury Goods,"Baltimore, Maryland"
UNP,Union Pacific,Industrials,Railroads,"Omaha, Nebraska"
UAL,United Airlines,Industrials,Airlines,"Chicago, Illinois"
UNH,UnitedHealth Group,Health Care,Managed Health Care,"Minnetonka, Minnesota"
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia"
URI,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut"
UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania"
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas"
VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois"
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia"
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey"
VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services,"New York City, New York"
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,"Cambridge, Massachusetts"
VFC,VF Corporation,Consumer Discretionary,Apparel Accessories & Luxury Goods,"Denver, Colorado"
VIAC,ViacomCBS,Communication Services,Movies & Entertainment,"New York City, New York"
VTRS,Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania"
V,Visa,Information Technology,Data Processing & Outsourced Services,"San Francisco, California"
VNO,Vornado Realty Trust,Real Estate,Office REITs,"New York City, New York"
VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama"
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut"
WAB,Wabtec,Industrials,Construction Machinery & Heavy Trucks,"Pittsburgh, Pennsylvania"
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas"
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois"
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,"Burbank, California"
WM,Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas"
WAT,Waters Corporation,Health Care,Health Care Distributors,"Milford, Massachusetts"
WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin"
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California"
WELL,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio"
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania"
WDC,Western Digital,Information Technology,Technology Hardware Storage & Peripherals,"San Jose, California"
WU,Western Union,Information Technology,Data Processing & Outsourced Services,"Englewood, Colorado"
WRK,WestRock,Materials,Paper Packaging,"Atlanta, Georgia"
WY,Weyerhaeuser,Real Estate,Specialized REITs,"Seattle, Washington"
WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan"
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma"
WLTW,Willis Towers Watson,Financials,Insurance Brokers,"London, England"
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada"
XEL,Xcel Energy,Utilities,Multi-Utilities,"Minneapolis, Minnesota"
XLNX,Xilinx,Information Technology,Semiconductors,"San Jose, California"
XYL,Xylem,Industrials,Industrial Machinery,"White Plains, New York"
YUM,Yum! Brands,Consumer Discretionary,Restaurants,"Louisville, Kentucky"
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois"
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,"Warsaw, Indiana"
ZION,Zions Bancorp,Financials,Regional Banks,"Salt Lake City, Utah"
ZTS,Zoetis,Health Care,Pharmaceuticals,"Parsippany, New Jersey"
